danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,playlist
0.283,0.649,2,-4.657,1,0.0323,0.0158,0,0.268,0.37,148.982,audio_features,799mKKcXcpcJcbBZzrnyAp,spotify:track:799mKKcXcpcJcbBZzrnyAp,https://api.spotify.com/v1/tracks/799mKKcXcpcJcbBZzrnyAp,https://api.spotify.com/v1/audio-analysis/799mKKcXcpcJcbBZzrnyAp,200627,3,Drunk Americans: Toby Keith ,Top 100 Country Tracks on Spotify
0.557,0.737,3,-5.75,1,0.0476,0.0142,0,0.314,0.817,158.05,audio_features,63QCk4cHK1jEdCJsGqOx0D,spotify:track:63QCk4cHK1jEdCJsGqOx0D,https://api.spotify.com/v1/tracks/63QCk4cHK1jEdCJsGqOx0D,https://api.spotify.com/v1/audio-analysis/63QCk4cHK1jEdCJsGqOx0D,204187,4,Where It's At: Dustin Lynch ,Top 100 Country Tracks on Spotify
0.563,0.789,11,-3.949,1,0.0297,0.00908,0.000396,0.0956,0.748,145.096,audio_features,1OtiKlQ3EALplQWw2LF7Xn,spotify:track:1OtiKlQ3EALplQWw2LF7Xn,https://api.spotify.com/v1/tracks/1OtiKlQ3EALplQWw2LF7Xn,https://api.spotify.com/v1/audio-analysis/1OtiKlQ3EALplQWw2LF7Xn,205840,4,Love You Like That: Canaan Smith ,Top 100 Country Tracks on Spotify
0.558,0.815,2,-5.352,1,0.067,0.0122,0,0.0705,0.638,157.954,audio_features,4q0SB41tm7eFqnAODPM8C6,spotify:track:4q0SB41tm7eFqnAODPM8C6,https://api.spotify.com/v1/tracks/4q0SB41tm7eFqnAODPM8C6,https://api.spotify.com/v1/audio-analysis/4q0SB41tm7eFqnAODPM8C6,244453,4,Take It On Back: Chase Bryant ,Top 100 Country Tracks on Spotify
0.6,0.931,8,-3.492,1,0.0681,0.128,0,0.0688,0.716,96.954,audio_features,0Rm6GWdapFsg4Z6r2Ae3s8,spotify:track:0Rm6GWdapFsg4Z6r2Ae3s8,https://api.spotify.com/v1/tracks/0Rm6GWdapFsg4Z6r2Ae3s8,https://api.spotify.com/v1/audio-analysis/0Rm6GWdapFsg4Z6r2Ae3s8,196733,4,Tattoo: Hunter Hayes ,Top 100 Country Tracks on Spotify
0.612,0.377,2,-9.266,1,0.0275,0.114,0,0.121,0.292,143.987,audio_features,52aeWO2BChpGCFG4BDSQq2,spotify:track:52aeWO2BChpGCFG4BDSQq2,https://api.spotify.com/v1/tracks/52aeWO2BChpGCFG4BDSQq2,https://api.spotify.com/v1/audio-analysis/52aeWO2BChpGCFG4BDSQq2,239724,4,Whiskey on My Breath (Radio Edit): Love and Theft ,Top 100 Country Tracks on Spotify
0.593,0.911,8,-3.81,1,0.096,0.293,0,0.376,0.846,160.071,audio_features,3yCeppDD1IM0GcBvN8K3KL,spotify:track:3yCeppDD1IM0GcBvN8K3KL,https://api.spotify.com/v1/tracks/3yCeppDD1IM0GcBvN8K3KL,https://api.spotify.com/v1/audio-analysis/3yCeppDD1IM0GcBvN8K3KL,218907,4,Girl In A Country Song: Maddie & Tae ,Top 100 Country Tracks on Spotify
0.652,0.859,2,-3.746,1,0.0358,0.0639,0,0.0777,0.491,109.971,audio_features,53Dj5PCDhb22qWqmre3YQs,spotify:track:53Dj5PCDhb22qWqmre3YQs,https://api.spotify.com/v1/tracks/53Dj5PCDhb22qWqmre3YQs,https://api.spotify.com/v1/audio-analysis/53Dj5PCDhb22qWqmre3YQs,188707,4,Aw Naw: Chris Young ,Top 100 Country Tracks on Spotify
0.535,0.657,3,-7.637,1,0.0325,0.0186,0,0.106,0.746,164.054,audio_features,3gz4UBairZaiIRTti4AqSm,spotify:track:3gz4UBairZaiIRTti4AqSm,https://api.spotify.com/v1/tracks/3gz4UBairZaiIRTti4AqSm,https://api.spotify.com/v1/audio-analysis/3gz4UBairZaiIRTti4AqSm,206267,4,Rewind: Rascal Flatts ,Top 100 Country Tracks on Spotify
0.547,0.889,7,-3.094,1,0.0457,0.154,1.12e-06,0.162,0.548,166.073,audio_features,6mUR3hNAhMFPnOLeSYz1SL,spotify:track:6mUR3hNAhMFPnOLeSYz1SL,https://api.spotify.com/v1/tracks/6mUR3hNAhMFPnOLeSYz1SL,https://api.spotify.com/v1/audio-analysis/6mUR3hNAhMFPnOLeSYz1SL,190653,4,Trouble: Gloriana ,Top 100 Country Tracks on Spotify
